particulars,posting_date,voucher_type,debit,credit,net_balance
Funds added using UPI from VG7860 with reference number 109505823516,2026-04-02,Bank Receipts,0.000000,50000.000000,49999.999657
Bank Modification Charges,2026-04-02,Journal Entry,29.500000,0.000000,49970.499657
Net settlement for Equity with settlement number: 2026062,2026-04-02,Book Voucher,49637.666345,0.000000,332.833312
Funds added using UPI from VG7860 with reference number 408642421056,2026-04-15,Bank Receipts,0.000000,50000.000000,50332.833312
Funds added using UPI from VG7860 with reference number 103115596666,2026-04-15,Bank Receipts,0.000000,50000.000000,100332.833312
Funds added using UPI from VG7860 with reference number 103115469960,2026-04-15,Bank Receipts,0.000000,50000.000000,150332.833312
Net settlement for Equity with settlement number: 2026069,2026-04-15,Book Voucher,99146.816083,0.000000,51186.017229
DP Charges for Sale of TARIL on 16/04/2026,2026-04-16,Journal Entry,15.340000,0.000000,51170.677229
Net settlement for Equity with settlement number: 2026070,2026-04-16,Book Voucher,0.000000,8101.718584,59272.395813
Charges for enabling DDPI,2026-04-16,Journal Entry,118.000000,0.000000,59154.395813
Funds added using UPI from VG7860 with reference number 754282361076,2026-04-17,Bank Receipts,0.000000,10000.000000,69154.395813
Funds added using UPI from VG7860 with reference number 752487321076,2026-04-17,Bank Receipts,0.000000,50000.000000,119154.395813
Funds added using UPI from VG7860 with reference number 103123814252,2026-04-17,Bank Receipts,0.000000,100000.000000,219154.395813
MTM obligation blocked for MTF,2026-04-17,MTF Delivery Voucher,5842.300000,0.000000,213312.095813
Initial margin charged for MTF,2026-04-17,Book Voucher,206031.881560,0.000000,7280.214253
Net settlement for Equity with settlement number: 2026071,2026-04-17,Book Voucher,839.893441,0.000000,6440.320812
MTM obligation reversed for MTF,2026-04-20,MTF Delivery Voucher,0.000000,5842.300000,12282.620812
MTM obligation blocked for MTF,2026-04-20,MTF Delivery Voucher,4543.700000,0.000000,7738.920812
Interest for MTF funded value on 2026-04-18,2026-04-20,Journal Entry,168.814000,0.000000,7570.106812
Interest for MTF funded value on 2026-04-19,2026-04-20,Journal Entry,168.814000,0.000000,7401.292812
Interest for MTF funded value on 2026-04-20,2026-04-20,Journal Entry,168.814000,0.000000,7232.478812
MTF pledge charges for AZAD,2026-04-20,Journal Entry,17.700000,0.000000,7214.778812
MTF pledge charges for WABAG,2026-04-20,Journal Entry,17.700000,0.000000,7197.078812
MTF pledge charges for JSWENERGY,2026-04-20,Journal Entry,17.700000,0.000000,7179.378812
MTF pledge charges for OLECTRA,2026-04-20,Journal Entry,17.700000,0.000000,7161.678812
MTM obligation reversed for MTF,2026-04-21,MTF Delivery Voucher,0.000000,4543.700000,11705.378812
MTM obligation blocked for MTF,2026-04-21,MTF Delivery Voucher,1037.500000,0.000000,10667.878812
Interest for MTF funded value on 2026-04-21,2026-04-21,Journal Entry,168.814000,0.000000,10499.064812
Funds added using UPI from VG7860 with reference number 103149343171,2026-04-22,Bank Receipts,0.000000,50000.000000,60499.064812
MTM obligation reversed for MTF,2026-04-22,MTF Delivery Voucher,0.000000,1037.500000,61536.564812
Initial margin charged for MTF,2026-04-22,Book Voucher,49554.161250,0.000000,11982.403562
Net settlement for Equity with settlement number: 2026074,2026-04-22,Book Voucher,157.091672,0.000000,11825.311890
Interest for MTF funded value on 2026-04-22,2026-04-22,Journal Entry,168.814000,0.000000,11656.497890
Interest for MTF funded value on 2026-04-23,2026-04-23,Journal Entry,194.351000,0.000000,11462.146890
MTF pledge charges for TARIL,2026-04-23,Journal Entry,17.700000,0.000000,11444.446890
MTM obligation blocked for MTF,2026-04-24,MTF Delivery Voucher,2035.500000,0.000000,9408.946890
Net settlement for Equity with settlement number: 2026076,2026-04-24,Book Voucher,0.000000,138891.215410,148300.162300
DP Charges for Sale of AZAD on 24/04/2026,2026-04-24,Journal Entry,15.340000,0.000000,148284.822300
Interest for MTF funded value on 2026-04-24,2026-04-24,Journal Entry,194.351000,0.000000,148090.471300
MTF unpledge charges for AZAD,2026-04-24,Journal Entry,17.700000,0.000000,148072.771300
MTM obligation reversed for MTF,2026-04-27,MTF Delivery Voucher,0.000000,2035.500000,150108.271300
MTM obligation blocked for MTF,2026-04-27,MTF Delivery Voucher,1075.000000,0.000000,149033.271300
Initial margin charged for MTF,2026-04-27,Book Voucher,49059.000000,0.000000,99974.271300
Net settlement for Equity with settlement number: 2026077,2026-04-27,Book Voucher,191.919133,0.000000,99782.352167
Interest for MTF funded value on 2026-04-25,2026-04-27,Journal Entry,153.170000,0.000000,99629.182167
Interest for MTF funded value on 2026-04-26,2026-04-27,Journal Entry,153.170000,0.000000,99476.012167
Interest for MTF funded value on 2026-04-27,2026-04-27,Journal Entry,153.170000,0.000000,99322.842167
Funds added using UPI from VG7860 with reference number 109700234985,2026-04-28,Bank Receipts,0.000000,20000.000000,119322.842167
MTM obligation reversed for MTF,2026-04-28,MTF Delivery Voucher,0.000000,1075.000000,120397.842167
MTM obligation blocked for MTF,2026-04-28,MTF Delivery Voucher,1523.000000,0.000000,118874.842167
Initial margin charged for MTF,2026-04-28,Book Voucher,101802.239880,0.000000,17072.602287
Net settlement for Equity with settlement number: 2026078,2026-04-28,Book Voucher,386.532318,0.000000,16686.069969
Interest for MTF funded value on 2026-04-28,2026-04-28,Journal Entry,190.426000,0.000000,16495.643969
MTF pledge charges for PGEL,2026-04-28,Journal Entry,17.700000,0.000000,16477.943969
MTM obligation reversed for MTF,2026-04-29,MTF Delivery Voucher,0.000000,1523.000000,18000.943969
MTM obligation blocked for MTF,2026-04-29,MTF Delivery Voucher,5405.600000,0.000000,12595.343969
Interest for MTF funded value on 2026-04-29,2026-04-29,Journal Entry,264.579000,0.000000,12330.764969
MTF pledge charges for GENUSPOWER,2026-04-29,Journal Entry,17.700000,0.000000,12313.064969
MTF pledge charges for TRANSRAILL,2026-04-29,Journal Entry,17.700000,0.000000,12295.364969
MTM obligation reversed for MTF,2026-04-30,MTF Delivery Voucher,0.000000,5405.600000,17700.964969
MTM obligation blocked for MTF,2026-04-30,MTF Delivery Voucher,11757.600000,0.000000,5943.364969
Interest for MTF funded value on 2026-04-30,2026-04-30,Journal Entry,264.579000,0.000000,5678.785969
MTM obligation reversed for MTF,2026-05-04,MTF Delivery Voucher,0.000000,11757.600000,17436.385969
MTM obligation blocked for MTF,2026-05-04,MTF Delivery Voucher,10864.600000,0.000000,6571.785969
Interest for MTF funded value on 2026-05-01,2026-05-04,Journal Entry,264.579000,0.000000,6307.206969
Interest for MTF funded value on 2026-05-02,2026-05-04,Journal Entry,264.579000,0.000000,6042.627969
Interest for MTF funded value on 2026-05-03,2026-05-04,Journal Entry,264.579000,0.000000,5778.048969
Interest for MTF funded value on 2026-05-04,2026-05-04,Journal Entry,264.579000,0.000000,5513.469969
MTM obligation reversed for MTF,2026-05-05,MTF Delivery Voucher,0.000000,10864.600000,16378.069969
MTM obligation blocked for MTF,2026-05-05,MTF Delivery Voucher,14822.100000,0.000000,1555.969969
Interest for MTF funded value on 2026-05-05,2026-05-05,Journal Entry,264.579000,0.000000,1291.390969
DP Charges for Sale of TRANSRAILL on 06/05/2026,2026-05-06,Journal Entry,15.340000,0.000000,1276.050969
MTM obligation reversed for MTF,2026-05-06,MTF Delivery Voucher,0.000000,14822.100000,16098.150969
