date,net_cash_flow,available_cash,capital_deployed,buys,sells
2026-04-02,-49667.17,1317605.33,49667.17,TARILx184,
2026-04-15,-99146.82,1218458.52,148813.98,"AZADx27, WABAGx36",
2026-04-16,7968.38,1226426.90,140845.60,OLECTRAx41,TARILx184
2026-04-17,-212714.08,1013712.82,353559.68,"WABAGx107, AZADx83, OLECTRAx115, JSWENERGYx330",
2026-04-20,721.36,1014434.18,352838.32,,
2026-04-21,3337.39,1017771.57,349500.93,,
2026-04-22,-48842.57,968929.00,398343.50,TARILx375,
2026-04-23,-212.05,968716.95,398555.55,,
2026-04-24,136628.32,1105345.27,261927.23,,AZADx110
2026-04-27,-48749.93,1056595.34,310677.16,PGELx250,
2026-04-28,-102844.90,953750.44,413522.06,"GENUSPOWERx450, TRANSRAILLx240",
2026-04-29,-4182.58,949567.87,417704.63,,
2026-04-30,-6616.58,942951.29,424321.21,,
2026-05-04,-165.32,942785.97,424486.53,,
2026-05-05,-4222.08,938563.89,428708.61,,
2026-05-06,51661.66,990225.55,377046.95,,TRANSRAILLx240
2026-05-07,-2476.25,987749.30,379523.20,,
2026-05-08,134156.60,1121905.90,245366.60,"HBLENGINEx155, ANGELONEx490","WABAGx143, OLECTRAx156"
2026-05-11,-12603.10,1109302.79,257969.71,,
2026-05-12,-31125.90,1078176.89,289095.61,,
2026-05-13,173.63,1078350.52,288921.98,,
2026-05-14,1216.78,1079567.30,287705.20,,
2026-05-15,211.18,1079778.49,287494.01,,
2026-05-18,-14983.69,1064794.80,302477.70,,
2026-05-19,18546.23,1083341.03,283931.47,,
2026-05-20,-50745.85,1032595.18,334677.32,AVALONx40,
2026-05-21,5294.92,1037890.09,329382.41,,
2026-05-22,-102816.81,935073.28,432199.22,"AEROFLEXx300, CGPOWERx220",
2026-05-25,-2377.53,932695.75,434576.75,,
2026-05-26,-148925.36,783770.39,583502.11,"WALCHANNAGx430, INOXINDIAx110, KIRLOSENGx80",
2026-05-27,-42658.97,741111.42,626161.08,,
2026-05-29,-3693.34,737418.07,629854.43,,
2026-06-01,106558.35,843976.43,523296.07,,KIRLOSENGx80
2026-06-02,8366.31,852342.74,514929.76,,
2026-06-03,-101181.15,751161.59,616110.91,"ACMESOLARx450, SYRMAx114",
2026-06-04,-40863.65,710297.94,656974.56,"AVALONx40, DATAPATTNSx30",AVALONx40
2026-06-05,-3797.68,706500.26,660772.24,,
