date,portfolio_value,invested_capital
2026-04-02,50250.40,49578.80
2026-04-06,50498.80,49578.80
2026-04-07,49394.80,49578.80
2026-04-08,51796.00,49578.80
2026-04-09,50995.60,49578.80
2026-04-10,51786.80,49578.80
2026-04-13,53590.00,49578.80
2026-04-15,155853.60,148607.90
2026-04-16,151877.35,198894.40
2026-04-17,776851.40,826960.50
2026-04-20,777717.80,826960.50
2026-04-21,788575.60,826960.50
2026-04-22,919270.30,940356.00
2026-04-23,937829.30,940356.00
2026-04-24,702305.95,940356.00
2026-04-27,866499.35,1082556.00
2026-04-28,1163194.90,1369737.69
2026-04-29,1138474.00,1369737.69
2026-04-30,1138361.40,1369737.69
2026-05-01,1138361.40,1369737.69
2026-05-04,1142503.50,1369737.69
2026-05-05,1128915.85,1369737.69
2026-05-06,1004750.25,1369737.69
2026-05-07,1008933.05,1369737.69
2026-05-08,881094.25,1660668.94
2026-05-11,860312.25,1660668.94
2026-05-12,812458.75,1660668.94
2026-05-13,817462.50,1660668.94
2026-05-14,815479.00,1660668.94
2026-05-15,815827.75,1660668.94
2026-05-18,800577.25,1660668.94
2026-05-19,820520.50,1660668.94
2026-05-20,883276.00,1715314.34
2026-05-21,899163.00,1715314.34
2026-05-22,1214901.25,2026406.58
2026-05-25,1228464.00,2026406.58
2026-05-26,1657188.85,2448725.61
2026-05-27,1689379.20,2448725.61
2026-05-28,1689379.20,2448725.61
2026-05-29,1681535.05,2448725.61
