Stock Code/Name,Trade Date,Matched Report Symbol,Buy Quantity,Buy Value,Sell Quantity,Sell Value,Net Quantity,Average Buy Price,Average Sell Price,Open Average Cost,Latest Market Price,Latest Market Date,Realized P&L,"Charges, Taxes, Others",Net Realized P&L,Unrealized P&L,Total P&L,Return %
OLECTRA,2026-04-16,OLECTRA.NS,41,50286.5000,41,57011.7997,0,1226.5000,1390.5317,0.0000,1446.6000,2026-06-18,6725.2997,52.9442,6672.3554,0.0000,6672.3554,13.27%
OLECTRA,2026-04-17,OLECTRA.NS,115,140357.5000,115,157550.0000,0,1220.5000,1370.0000,0.0000,1446.6000,2026-06-18,17192.5000,339.4757,16853.0243,0.0000,16853.0243,12.01%
WABAG,2026-04-15,WABAG.NS,36,49451.6998,36,53213.8995,0,1373.6583,1478.1639,0.0000,1766.5000,2026-06-17,3762.1997,105.0293,3657.1704,0.0000,3657.1704,7.40%
WABAG,2026-04-17,WABAG.NS,107,154122.8026,107,158147.2997,0,1440.4000,1478.0121,0.0000,1766.5000,2026-06-17,4024.4971,340.7627,3683.7344,0.0000,3683.7344,2.39%
JSWENERGY,2026-04-17,JSWENERGY.NS,330,177952.5000,330,186645.2427,0,539.2500,565.5916,0.0000,558.6000,2026-08-13,8692.7427,402.1677,8290.5751,0.0000,8290.5751,4.66%
TARIL,2026-04-02,TARIL.NS,184,49578.8022,184,58509.3000,0,269.4500,317.9853,0.0000,292.0000,2026-08-13,8930.4978,113.1949,8817.3029,0.0000,8817.3029,17.78%
TARIL,2026-04-22,TARIL.NS,375,113395.4975,375,120059.7522,0,302.3880,320.1593,0.0000,292.0000,2026-08-13,6664.2547,269.3340,6394.9207,0.0000,6394.9207,5.64%
PGEL,2026-04-27,PGEL.NS,250,142199.9970,250,143713.0941,0,568.8000,574.8524,0.0000,615.0000,2026-08-13,1513.0971,325.3798,1187.7173,0.0000,1187.7173,0.84%
GENUSPOWER,2026-04-28,GENUSPOWER.NS,450,140376.9453,450,145953.4500,0,311.9488,324.3410,0.0000,345.5500,2026-06-23,5576.5047,334.1093,5242.3954,0.0000,5242.3954,3.73%
TRANSRAILL,2026-04-28,TRANSRAILL.NS,240,146804.7505,240,139200.0000,0,611.6865,580.0000,0.0000,472.9500,2026-08-13,-7604.7505,318.6496,-7923.4001,0.0000,-7923.4001,-5.40%
ANGELONE,2026-05-08,ANGELONE.NS,490,159568.4971,0,0.0000,490,325.6500,0.0000,325.6500,292.0000,2026-08-13,0.0000,0.0000,0.0000,-16488.4971,-16488.4971,-10.33%
HBLENGINE,2026-05-08,HBLENGINE.NS,155,131362.7499,0,0.0000,155,847.5016,0.0000,847.5016,693.0500,2026-08-13,0.0000,0.0000,0.0000,-23939.9999,-23939.9999,-18.22%
AVALON,2026-05-20,AVALON.NS,40,54645.4009,40,64406.3010,0,1366.1350,1610.1575,0.0000,1760.0000,2026-06-15,9760.9001,124.8612,9636.0390,0.0000,9636.0390,17.63%
AVALON,2026-06-04,AVALON.NS,40,64556.0010,40,69214.5985,0,1613.9000,1730.3650,0.0000,1760.0000,2026-06-15,4658.5976,306.0864,4352.5111,0.0000,4352.5111,6.74%
AEROFLEX,2026-05-22,AEROFLEX.NS,300,120794.9986,300,129527.2496,0,402.6500,431.7575,0.0000,431.4000,2026-08-03,8732.2509,281.8422,8450.4088,0.0000,8450.4088,7.00%
CGPOWER,2026-05-22,CGPOWER.NS,220,190297.2447,220,204673.2477,0,864.9875,930.3329,0.0000,921.9500,2026-07-16,14376.0030,445.3545,13930.6485,0.0000,13930.6485,7.32%
INOXINDIA,2026-05-26,INOXINDIA.NS,110,163650.5992,110,185497.6019,0,1487.7327,1686.3418,0.0000,1941.9000,2026-08-13,21847.0027,481.6625,21365.3402,0.0000,21365.3402,13.06%
INOXINDIA,2026-07-23,INOXINDIA.NS,73,148037.0007,0,0.0000,73,2027.9041,0.0000,2027.9041,1941.9000,2026-08-13,0.0000,0.0000,0.0000,-6278.3007,-6278.3007,-4.24%
WALCHANNAG,2026-05-26,WALCHANNAG.NS,430,117309.7304,0,0.0000,430,272.8133,0.0000,272.8133,225.5600,2026-08-13,0.0000,0.0000,0.0000,-20318.9304,-20318.9304,-17.32%
ACMESOLAR,2026-06-03,ACMESOLAR.NS,450,147294.4018,450,164052.9978,0,327.3209,364.5622,0.0000,371.1000,2026-08-03,16758.5960,347.7609,16410.8351,0.0000,16410.8351,11.14%
SYRMA,2026-06-03,SYRMA.NS,114,136098.1044,114,158155.4990,0,1193.8430,1387.3289,0.0000,1373.0000,2026-06-23,22057.3946,335.2594,21722.1353,0.0000,21722.1353,15.96%
DATAPATTNS,2026-06-04,DATAPATTNS.NS,30,126365.7959,30,138554.7998,0,4212.1932,4618.4933,0.0000,4597.5000,2026-07-23,12189.0039,128.6695,12060.3344,0.0000,12060.3344,9.54%
KRN,2026-06-15,KRN.NS,40,50132.0020,40,53400.0000,0,1253.3000,1335.0000,0.0000,1398.4000,2026-08-13,3267.9980,49.5901,3218.4079,0.0000,3218.4079,6.42%
KRN,2026-08-12,KRN.NS,200,267424.1000,60,80100.0000,140,1337.1205,1335.0000,1337.6599,1398.4000,2026-08-13,-51.7189,74.3852,-126.1041,8503.6190,8377.5148,3.13%
HSCL,2026-06-16,HSCL.NS,220,152131.3997,220,175975.4028,0,691.5064,799.8882,0.0000,800.9000,2026-07-21,23844.0031,163.4203,23680.5828,0.0000,23680.5828,15.57%
GNFC,2026-06-17,GNFC.NS,300,167204.9928,0,0.0000,300,557.3500,0.0000,557.3500,550.4000,2026-08-13,0.0000,0.0000,0.0000,-2084.9928,-2084.9928,-1.25%
KIRLOSENG,2026-05-26,KIRLOSENG.NS,80,141358.7003,80,157200.0000,0,1766.9838,1965.0000,0.0000,2059.8999,2026-08-13,15841.2997,408.1850,15433.1146,0.0000,15433.1146,10.92%
KIRLOSENG,2026-06-18,KIRLOSENG.NS,73,145138.7967,73,168068.4978,0,1988.2027,2302.3082,0.0000,2059.8999,2026-08-13,22929.7011,544.0275,22385.6735,0.0000,22385.6735,15.42%
